ID,NAME,ID_CATEGORY_PARRENT,ALIAS
29,"Aconitum nap., Arg. nit., Arnica, Bryonia, Colchicum, Guaiacum, Hypericum, Kalmia, Phosphorus, Phytolacca, Pulsatilla, Rhus toxicodendron, Ruta, Sarcolacticum ac., Sticta, Stramonium, Hamamelis, Taraxacum,",4,Pain Soother
30,Triclosan,18,DebMed Antimicrobial Body Wash and Shampoo
31,Sisal,87,Sisal
32,"Oxytocin, Chimaphila Umbellata, Pituitary, Uva Ursi, Orchitinum, Prostate, Sarsaparilla",26,MBM 12 Male
33,Sodium Monofluorophosphate,77,Delta Airline Ron Kit
34,"OCTINOXATE, OCTISALATE, TITANIUM DIOXIDE",79,FusionBeauty Colorceuticals PrimeResults Tinted Moisturizer SPF15 Sand
35,FERRIC OXIDE RED,31,Calamine
36,Ursodiol,71,Ursodiol
37,HYDROCODONE BITARTRATE AND ACETAMINOPHEN,78,HYDROCODONE BITARTRATE AND ACETAMINOPHEN
38,"SODIUM SULFACETAMIDE, SULFUR",16,"SODIUM SULFACETAMIDE, SULFUR"
39,levonorgestrel / ethinyl estradiol and ethinyl estradiol,25,Seasonique
40,gabapentin,27,Gabapentin
41,Honeydew Melon,99,Honeydew Melon
42,"CHROMIUM, COPPER, IRON, MANGANESE, IODINE, FLUORINE, MOLYBDENUM, SELENIUM, and ZINC",15,Addamel N
43,WITCH HAZEL,66,HAMSOA YUYU PURE MILD WASH
44,Levothyroxine Sodium,71,Levothyroxine Sodium
45,zinc oxide,37,zinc oxide
46,Phenazopyridine Hydrochloride,98,Phenazopyridine Hydrochloride
47,FENOFIBRATE,67,Fenofibrate
48,Ibuprofen,13,ibuprofen
49,Sheep Sorrel,100,Sheep Sorrel
50,Omeprazole,85,equaline omeprazole
51,ALCOHOL,37,Quik-Care
52,Pilocarpine Hydrochloride,24,Pilocarpine Hydrochloride
53,"Hypromellose, Tetrahydrozoline hydrochloride",35,Rohto Arctic
54,ENALAPRIL MALEATE AND HYDROCHLOROTHIAZIDE,96,ENALAPRIL MALEATE AND HYDROCHLOROTHIAZIDE
55,Ranitidine Hydrochloride,34,Ranitidine Hydrochloride
56,Octinoxate,3,CLE DE PEAU BEAUTE REFINING FLUID FOUNDATION
57,Black Pepper,64,Black Pepper
58,"Antihemophilic Factor, Human Recombinant",85,ADVATE
59,"ATP, Malic acid, Natrum oxalaceticum, Oroticum acidum, Roboflavinum, Apiolum, Cinnamic acid, Streptococcus viridans, Colibacillinum cum naturm muriaticum, Echinacea,",25,Bacteria Plus
60,Valacyclovir Hydrochloride,12,Valacyclovir Hydrochloride
61,"Adrenocorticotrophin, Agnus castus, Baryta carbonica, Calcarea carbonica, Iodium, Lac caninum, Natrum muriaticum, Phosphoricum acidum, Sepia, Thyroidinum suis,",98,Anpitua Stim
62,clonidine hydrochloride,33,Clonidine Hydrochloride
63,"acetaminophen,pheniramine maleate, phenylephrine hydrochloride",11,Flu and Sore Throat
64,ONOSMODIUM VIRGINIANUM ROOT,13,DRY SORE THROAT
65,Zaleplon,40,Zaleplon
66,"SODIUM MONOFLUOROPHOSPHATE, SILICON DIOXIDE, GLYCERIN",10,NANO SILVER TOOTHPASTE
67,Albumin (Human),58,Plasbumin
68,Diclofenac Sodium,28,Diclofenac Sodium
69,Lithium Carbonate,6,Lithium Carbonate
70,Naproxen sodium,45,Topcare All Day Pain Relief
71,Imiquimod,30,Imiquimod
72,Salicylic Acid,41,Santalia Clinical Daily Cleanser
73,Baclofen,51,Baclofen
74,Bisacodyl,71,womans laxative
75,Promethazine Hydrochloride,33,PHENADOZ
76,BACITRACIN ZINC NEOMYCIN SULFATE POLYMYXIN B,75,ProcureTriple Antibiotic
77,Acetaminophen,96,babies r us pain relief
78,carisoprodol,73,carisoprodol
79,ABILIFY,27,ABILIFY
80,Alprazolam,98,Alprazolam
81,Lorazepam,12,Lorazepam
82,conjugated estrogens,72,Premarin
83,Erythromycin,54,Erythra-Derm
84,Loperamide Hydrochloride,81,anti diarrheal
85,SALICYLIC ACID,22,Fusion Beauty ColorCeuticals Acne Control Primer
86,Gemfibrozil,18,Gemfibrozil
87,alcohol,64,EO HAND SANITIZER
88,Caffeine,28,Stay Awake
89,Fluoxetine Capsules,61,Fluoxetine
90,OXYMETAZOLINE HYDROCHLORIDE,2,OXYMETAZOLINE HYDROCHLORIDE
91,Cilostazol,15,Cilostazol
92,retapamulin,89,Altabax
93,Ropinirole,67,Ropinirole
94,Nicotine Polacrilex,73,Nicotine
95,Melissa Chamomilla,98,Melissa Chamomilla
96,CETIRIZINE HYDROLORIDE,41,CETIRIZINE HYDROLORIDE Allergy
97,METAXALONE,91,METAXALONE
98,Titanium Dioxide and Zinc Oxide,76,Ready Foundation
99,betula nigra pollen and betula papyrifera pollen and betula lenta pollen and betula populifolia pollen,79,"BIRCH MIX, RIVER/PAPER/SWEET/WHITE POLLEN"
100,calcium carbonate,66,Meijer Softchews
101,Oxybutynin Chloride,63,Oxybutynin Chloride
102,Cold and Flu Solution,89,Cold and Flu Solution
103,"Avobenzone, Homosalate, Octisalate, and Octocrylene",55,Coppertone Sport
104,Diazepam,76,Diazepam
105,Acetaminophen,96,pain Relief
106,Bisacodyl,85,Bisac-Evac
107,OCTINOXATE,29,Lumene Vitamin C BB Illuminating Anti-Age BB Sunscreen Broad Spectrum SPF 20 Light
108,PHENAZOPYRIDINE HYDROCHLORIDE,22,Preferred Plus Maximum Strength Urinary Pain Relief
109,Titanium Dioxide,69,Flawless Finish Dual Perfection Makeup SPF 8 Buff
110,Fig,7,Fig
111,"Acetaminophen, Diphenhydramine HCl and Phenylephrine HCl",91,Wal-Dryl Allergy Plus Cold
112,"TRIBASIC CALCIUM PHOSPHATE, MATRICARIA RECUTITA, ARABICA COFFEE BEAN, and ATROPA BELLADONNA",52,Teething
113,Alcohol,32,Hand Sanitizer
114,ONDANSETRON,93,ONDANSETRON
115,amlodipine besylate and benazepril hydrochloride,48,Lotrel
116,"Aconite 30c, Belladonna 30c, Chamomilla 30c, Cimicifuga 30c, Ignatia 30c, Lachesis 30c, Pulsatilla 30c, Sepia 30c, Nux Vomica 30c Sulphur 30c",91,Mood Swings
117,Doxazosin Mesylate,98,Doxazosin
118,GLYCERIN,40,MAX HYALURONIC STEMCELL SLEEPING PACK
119,rifampin,69,Rifadin IV
120,citalopram hydrobromide,15,Celexa
121,Polyethylene Glycol 3350,68,Polyethylene Glycol 3350
122,"ACETAMINOPHEN, DEXTROMETHORPHAN HYDROBROMIDE, DOXYLAMINE SUCCINATE",8,Nite-Time
123,TITANIUM DIOXIDE,12,SENSAI CELLULAR PERFORMANCE POWDER FOUNDATION
124,hydrocodone bitartrate and acetaminophen,14,HYDROCODONE BITARTRATE AND ACETAMINOPHEN
125,Propranolol,56,Propranolol
126,Thuja Occidentalis,93,Naturasil
127,Menthol,42,Cold and Hot Pain Relief
128,Ethyl Alcohol,13,Skintegrity Instant Hand Sanitizer
129,Quinidine Sulfate,13,Quinidine Sulfate
130,Silver Sulfadiazine,52,Silver Sulfadiazine
131,Barium,66,Total Barium
132,"Dextromethorphan Hydrobromide, Doxylamine Succinate",52,Equaline night time
133,Dexmethylphenidate Hydrochloride,4,Dexmethylphenidate Hydrochloride
134,"Dextrose Monohydrate, Sodium Chloride, Calcium Chloride, Magnesium Chloride, Sodium Lactate",71,DELFLEX
135,Hydrocodone Polistirex and Chlorpheniramine Polisitrex,40,Hydrocodone Polistirex and Chlorpheniramine Polisitrex
136,TOBRAMYCIN SULFATE,82,Tobramycin in Sodium Chloride
137,mitoXANTRONE,75,mitoXANTRONE
138,Sodium Fluoride,88,Rembrandt Deeply White Plus Peroxide Whitening
139,SALICYLIC ACID,65,PSORIAPALM Non-Greasy Psoriasis
140,SILICEA,9,SILICEA
141,cetirizine Hydrochloride,22,allergy relief
142,Cefadroxil,19,Cefadroxil
143,"Uricum acidum, Benzoicum acidum, Berber. vulg., Bryonia, Cantharis, Carduus benedictus, Ceanothus, Chelidonium majus, Chionanthus virginica, Cinchona, Dioscorea, Dolichos, Iris versicolor, Juniperus com., Nux vom.,Ptelea,Taraxacum, Carduus mar., Cynara scolymus, Solidago",74,Detox
144,Salicylic acid,35,Medicated Apricot Scrub
145,Sertraline Hydrochloride,38,Sertraline Hydrochloride
146,Octinoxate and Oxybenzone,79,LBEL Couleur luxe rouge irresistible maximum hydration SPF 17
147,"Dextroamphetamine Saccharate, Amphetamine Aspartate, Dextroamphetamine Sulfate and Amphetamine Sulfate",80,"Dextroamphetamine Saccharate, Amphetamine Aspartate, Dextroamphetamine Sulfate and Amphetamine Sulfate"
148,"ACETAMINOHPEN, DEXTROMETHORPHAN HBr, PHENYLEPHRINE HCL",12,NON-DROWSY DAY TIME
149,ALCOHOL,20,Healing Waters Cherry Blossom Scented Waterless Hand Sanitizer
150,acetaminophen,23,Ringl
151,Diphenhydramine Hydrochloride,62,Diphenhydramine Hydrochloride
152,levothyroxine sodium,51,UNITHROID
153,"avobenzone, homosalate, octisalate, octocrylene",52,Ocean Potion Instant Dry 50 Mist Kids Sunscreen
154,CHLOROXYLENOL,39,Cleanse
155,Acetaminophen,94,leader pain relief
156,"Dextromethorphan HBr, Guaifenesin",58,Equate Tussin DM Max
157,"Antihemophilic Factor, Human Recombinant",54,ADVATE
158,LETROZOLE,4,Letrozole
159,Dexamethasone,71,Dexamethasone
160,diclofenac sodium and misoprostol,29,ARTHROTEC
161,"Avobenzone, Octisalate, Octocrylene",41,No7 Protect and Perfect Intense Day Cream Sunscreen Broad Spectrum SPF 15
162,"norethindrone and ethinyl estradiol, and ferrous fumarate",10,FEMCON Fe
163,icatibant acetate,32,Firazyr
164,Octinoxate and Oxybenzone,67,GAP Favorite Lip Balm
165,Treatment Set TS331579,63,Treatment Set TS331579
166,BENZALKONIUM CHLORIDE AND PRAMOXINE HYDROCHLORIDE,4,Neosporin Plus Pain Relief Neo To Go First Aid Antiseptic Pain Relieving
167,HYDROCORTISONE,92,Maximum Strength Hydrocortisone
168,Anastrozole,100,ARIMIDEX
169,Tretinoin,81,Retin-A MICRO
170,SALICYLIC ACID,44,Dollar General Acne Spot Medication
171,cyclobenzaprine hydrochloride,52,Cyclobenzaprine Hydrochloride
172,PSYLLIUM HUSK,85,KONSYL Orange Flavor Psyllium Fiber - Original Texture
173,Oxygen,58,Oxygen
174,Fosinopril Sodium,6,Fosinopril Sodium
175,Clarithromycin,77,Clarithromycin
176,Benzalkonium chloride,70,Smart Sense Cold Sore Treatment
177,Nicotine Polacrilex,81,Equate nicotine
178,Proparacaine Hydrochloride,88,Proparacaine Hydrochloride
179,"Titanium Dioxide, Ethylhexyl Methoxycinnamate, Ethylhexyl Salicylate",79,IQueen CCC Light
180,Citalopram,11,Citalopram
181,Duloxetin hydrochloride,67,Duloxetine hydrochloride
182,Hydrocortisone,97,Cortisone Maximum Strength
183,GANCICLOVIR,78,GANCICLOVIR
184,MENTHOL,25,Perform
185,Loratadine,80,Loratadine
186,Promethazine Hydrochloride,32,Promethazine Hydrochloride
187,Maple Red,78,ACER RUBRUM POLLEN
188,Articaine Hydrochloride and Epinephrine Bitartrate,90,Septocaine and Epinephrine
189,"OCTINOXATE, TITANIUM DIOXIDE",7,LINGERIE DE PEAU INVISIBLE SKIN-FUSION FOUNDATION WITH SUNSCREEN BROAD SPECTRUM SPF 20 01 BEIGE PALE
190,Technetium Tc-99m Generator,97,Ultra-TechneKow
191,Titanium Dioxide,76,4 in 1 Pressed Mineral SPF 15 Porcelain
192,Cetirizine Hydrochloride,5,Wal Zyr
193,Simvastatin,11,Simvastatin
194,escitalopram,26,Escitalopram Oxalate
195,Divalproex Sodium,66,Divalproex Sodium
196,"MAGNESIUM PHOSPHATE, DIBASIC TRIHYDRATE",49,MAGNESIA PHOS
197,Desmopressin Acetate,37,Desmopressin Acetate
198,"Aloe, CALENDULA OFFICINALIS FLOWERING TOP, HAMAMELIS VIRGINIANA ROOT BARK/STEM BARK, and Lycopodium clavatum Spore",71,Hemorrhoid Control
199,BUSHMASTER VENOM,32,LACHESIS MUTUS
200,TITANIUM DIOXIDE,43,ARSAINTE ECO THERAPY SUPER REPAIR BB
201,Salicylic Acid,99,Nu Skin Clear Action
202,Quetiapine fumarate,54,Quetiapine fumarate
203,escherichia coli,68,Pleo San Coli
204,Paprika,56,Paprika
205,Titanium Dioxide and Zinc Oxide,100,MDSolarSciences SPF40 Mineral Screen
206,levofloxacin,33,LEVAQUIN
207,Aluminum Zirconium Tetrachlorohydrex GLY,63,Dove Ultimate Beauty Care Smooth Cashmere
208,"Acetaminophen, Dextromethorphan HBr, Doxylamine Succinate, Phenylephrine HCl",67,dg health cold and flu relief
209,povidone-iodine,69,Triadine
210,BUPIVACAINE HYDROCHLORIDE and EPINEPHRINE BITARTRATE,9,Bupivacaine Hydrochloride and Epinephrine
211,TITANIUM DIOXIDE,4,Putto Secret UV Face
212,CEFPROZIL,8,CEFPROZIL
213,LISINOPRIL,68,LISINOPRIL
214,Clarithromycin,98,Clarithromycin
215,benzalkonium chloride,62,ANTIBACTERIAL BANDAGE
216,METFORMIN HYDROCHLORIDE,32,METFORMIN HYDROCHLORIDE
217,amiodarone hydrochloride,71,PACERONE
218,DIMETHICONE,8,OMIJA WHITENING
219,"Ibuprofen, Pseudoephedrine Hydrochloride",94,ibuprofen cold and sinus
220,tolvaptan,24,SAMSCA
221,"Belladonna, Calendula officinalis, Bellis perennis, Hypericum perforatum, Arnica montana, Mercuris solubilis, Symphytum officinale, Rhus toxicodendron, Ruta graveolens",56,Trauma Drama
222,Octinoxate and Oxybenzone,75,ESIKA Extreme Moisturizing SPF 16
223,Treatment Set TS351200,99,Treatment Set TS351200
224,Aurum Plumbum,80,Aurum Plumbum
225,"Fucus vesiculosus, Cyanocobalamin, Glandula suprarenalis suis, Hepar suis, Oophorinum, Human chorionic gonadotropin,",46,HCG Select Female Vitality Formula
226,NOT APPLICABLE,17,ADDICLENZ
227,Sodium Fluoride,57,Listerine Total Care Zero
228,Gabapentin,1,Gabapentin
229,ciprofloxacin,65,ciprofloxacin
230,montelukast sodium,50,SINGULAIR
231,Apis Bryonia,71,Apis Bryonia
232,"Elaps corallinus, Aconitum nap., Arsenicum alb., Aur. met., Baryta carb., Benzoicum acidum, Berber. vulg., Bryonia, Calc. fluor. ,Cantharis, Ceanothus, Chelidonium majus , Chionanthus virginica, Cinchona, Convallaria, Crotalus horridus, Digitalis, Gelsemium , Glonoinum, Hydroflouricum acidum, Kali iodatum, Lachesis, Lycopus virginicus, Naja, Nux vom., Phosphorus, Pulsatilla, Rhus toxicodendron , Vipera berus, Echinacea, Hypericum,Valeriana",23,Cardiac Support
233,Acetaminophen and Codeine Phosphate,49,Acetaminophen and Codeine Phosphate
234,Ibuprofen,58,Leader Ibuprofen 200
235,Folic Acid,51,Folic Acid
236,"Apis Mellifera 30C, Silver Nitrate 30C, Barium Carbonate 30C, Atropa Belladonna 30C, Causticum 30C, Equisetum Hyemale 30C, Iodine 30C, Wood Creosote 30C, Sodium Chloride 30C, Nitric Acid 30C, Phosphorus 30C, Pulsatilla Vulgaris 30C, Thuja Occidentalis Leafy Twig 30C",41,ENURESIS HP
237,Omeprazole,56,Omeprazole
238,diazepam,20,Diazepam
239,Famciclovir,70,Famciclovir
240,Amoxicillin,22,Amoxicillin
241,Hydrocodone Bitartrate and Acetaminophen,34,Hydrocodone Bitartrate and Acetaminophen
242,METHYLDOPA,35,Methyldopa
243,Triclosan,5,Olive Oil Antibacterial Foaming Hand Wash
244,"HYPERICUM,ECHINACEA,MEZEREUM,DROSERA,THUJA,KALI MURIATICUM,,SILICA,",54,DPT TOX
245,Simethicone,58,Extra Strength Gas Relief
246,Tamsulosin Hydrochloride,32,Tamsulosin Hydrochloride
247,Guaifenesin,25,mucus extended release
248,"OCTINOXATE, TITANIUM DIOXIDE",69,HYDRA LIFE PRO-YOUTH SKIN TINT 1
249,ziprasidone hydrochloride,77,Ziprasidone
250,Silk,87,Silk
251,TITANIUM DIOXIDE,73,Clarins Paris Skin Illusion - 107 Beige
252,"Acetaminophen, Dextromethorphan HBr, Doxylamine succinate, Phenylephrine HCl",42,NITE TIME DAYTIME
253,Selegiline Hydrochloride,69,Selegiline Hydrochloride
254,OCTINOXATE,99,SKIN CAVIAR CONCEALER FOUNDATION SUNSCREEN SPF 15 - Honey Beige
255,Phenazopyridine HCl,21,Phenazopyridine HCl
256,ETHYL ALCOHOL,25,Antibacterial Hand Sanitizer
257,Saltbush,56,Saltbush
258,SODIUM CHLORIDE,80,Sodium Chloride
259,enalapril maleate,50,Enalapril Maleate
260,"famotidine, calcium carbonate and magnesium hydroxide",94,Acid Controller Complete
261,RUTA GRAVEOLENS FLOWERING TOP,38,"Sprains, Tendonitis"
262,Ibuprofen,18,Up and Up childrens ibuprofen
263,"Acetaminophen, Dextromethorphan HBr, Phenylephrine HCl",92,DayTime Multi-Symptom Flu Cold Medicine
264,Doxycycline Hyclate,55,Doxycycline Hyclate
265,Salicylic Acid,96,Spot Repairing Serum
266,Naphazoline Hydrochloride,7,Naphazoline
267,Diphenhydramine Hydrochloride,84,smart sense allergy
268,Salicylic Acid,46,Oil-Free Foaming Acne Wash Facial Cleanser
269,Chloroxylenol,95,SPARTAN LITE N FOAMY E2 HAND WASH AND SANITIZER
270,Zolmitriptan,80,ZOMIG
271,"CHLORHEXIDINE GLUCONATE, ETHYL ALCOHOL",32,Purmist
272,"Acetylcholine Chloride, Adrenalinum, Dopamine, Gaba, Norepinephrine, Octopamine, Serotonin, Taurine",75,Cerebromax
273,Trichoderma harzianam,39,Trichoderma harzianam
274,Levocarnitine,80,Levocarnitine
275,amoxicillin,6,AMOXICILLIN
276,Citalopram Hydrobromide,31,Citalopram Hydrobromide
277,darunavir ethanolate,19,PREZISTA
278,salmonella enterica subsp. enterica serovar enteritidis,49,Pleo San Salm
279,Alcohol,99,Anti-Bacterial Hand Sanitizer
280,Omeprazole Magnesium 20.6mg Capsules,49,Omeprazole Magnesium
281,Benztropine Mesylate,71,Benztropine Mesylate
282,Aspirin,62,Adult Low Dose Aspirin
283,Nicotine Polacrilex,58,equaline nicotine
284,Codeine Phosphate and Guaifenesin,30,Virtussin AC
285,Megestrol Acetate,98,Megestrol Acetate
286,"Aspirin, Caffeine",25,Extra Strength Back and Body
287,Velvet Grass,36,HOLCUS LANATUS POLLEN
288,Diphenhydramine,56,ZzzSleep
289,sertraline hydrochloride,86,Sertraline Hydrochloride
290,Zinc Oxide,54,Premier Value Zinc Oxide
291,Naproxen Sodium,77,Naproxen Sodium
292,HUMAN CORD BLOOD HEMATOPOIETIC PROGENITOR CELL,51,HemaCord
293,"Avobenzone, Octinoxate, and Octisalate",89,R.E.M. Day SPF 30
294,"ACETAMINOHPEN, DEXTROMETHORPHAN HBr, PHENYLEPHRINE HCL",60,Multi- Symptom Relief DayTime
295,doxazosin mesylate,42,Doxazosin
296,Diphenhydramine hydrochloride,79,Leader Allergy
297,"Acetaminophen, Dextromethorphan Hydrobromide, and Phenylephrine Hydrochloride",14,Cold and Flu Daytime
298,Captopril,86,Captopril
299,PYRITHIONE ZINC,33,Proactiv
300,"LIDOCAINE HYDROCHLORIDE, MENTHOL",12,LenzaGel
301,Nitrogen,59,Nitrogen
302,perphenazine,47,Perphenazine
303,Menthol,89,Body
304,Etravirine,40,Intelence
305,"SODIUM PHOSPHATE, MONOBASIC, MONOHYDRATE, SODIUM PHOSPHATE, DIBASIC ANHYDROUS",11,OsmoPrep
306,CHLOROXYLENOL,24,VEHICLE BOAT BAG MEDICAL
307,Flumazenil,91,Flumazenil
308,Alternaria alternata,10,Alternaria alternata
309,OCTINOXATE,39,flormar REBORN BB SUNSCREEN BROAD SPECTRUM SPF 30 CP13 Nude Ivory
310,TOPIRAMATE,2,TOPIRAMATE
311,Aluminum Sesquichlorohydrate,5,ESIKA
312,Mucinex Fast Max Severe Congestion and Cough Maximum Strength,5,Mucus Relief Severe Congestion and Cough
313,Pramipexole Dihydrochloride,33,Pramipexole Dihydrochloride
314,naproxen and esomeprazole magnesium,96,VIMOVO
315,SODIUM FLUORIDE,56,COLGATE KIDS WATERMELON FLAVOR
316,Risperidone,80,Risperidone
317,Octinoxate and Titanium dioxide,48,PURE SHEER
318,Methylphenidate Hydrochloride,98,Methylphenidate HCl Oral Solution
319,Levofloxacin,74,Levofloxacin
320,"Cinnamic Acid, Phloridzinum, Alpha Ketoglutaricum Acidum, Ascorbicum Acidum, Kidney, Malic Acid, Nicotinamidum",66,Bladder Kidney Meridian Formula
321,Guanfacine,82,Guanfacine
322,clonazepam,97,Clonazepam
323,benzalkonium chloride and lidocaine,8,Your Logo Here Antiseptic First Aid
324,Triclosan,56,Hill Country Essentials
325,Octinoxate,55,Maybelline New York Instant Age Rewind Eraser
326,Ketotifen Fumarate,36,EYE ITCH RELIEF
327,"Zinc Oxide, Titanium Dioxide",67,Fair Foundation SPF 15
328,Pyrithione zinc,86,Itchy Scalp
329,Herring,32,Herring
330,Glycerin,69,Intense Care Snail Eye
331,Alcohol,26,GBG AloeGel Instant Hand Sanitizer
332,Triamterene and Hydrochlorothiazide,87,Triamterene and Hydrochlorothiazide
333,MISOPROSTOL,77,misoprostol
334,DIMETHICONE,85,SNAYTOX
335,THYROTROPIN ALFA,46,Thyrogen
336,Ergocalciferol,60,Ergocalciferol
337,Palm Queen Coco Palm,34,SYAGRUS ROMANZOFFIANA POLLEN
338,"Tryptophan,",69,Tryptophan
339,ziprasidone hydrochloride,50,Geodon
340,Fluoride Toothpaste,89,Iodent Fluoride Toothpaste
341,"Acetaminophen, Dextromethorphan Hydrobromide, Doxylamine Succinate, Pseudoephedrine Hydrochloride",7,Nighttime D
342,Cetylpyridinium Chloride,27,Roccos Old School
343,Levofloxacin,48,Levofloxacin
344,Mustard,100,Mustard
345,Octinoxate,20,Purminerals 4-in-1 14-Hour Wear Foundation Broad Spectrum SPF 15 (TAN)
346,Hydrocodone Bitartrate and Acetaminophen,59,Vicodin HP
347,lettuce,45,LETTUCE
348,"ALUMINUM HYDROXIDE, MAGNESIUM HYDROXIDE, DIMETHICONE",13,Antacid Antigas Maximum Strength
349,penicillin G benzathine,76,BICILLIN L-A
350,Flucytosine,43,Flucytosine
351,Sodium Fluoride and Hydrofluoric Acid,48,Perfect Choice
352,NITROUS OXIDE,68,NITROUS OXIDE
353,alprazolam,1,Xanax
354,"Benzocaine,Isopropyl Alcohol",72,"PHOENIX HEALTHCARE SOLUTIONS, LLC"
355,"Influenza A Virus, Influenza B Virus, Antimon. tart., Arsenicum alb., Bryonia, Chelidonium majus, Cinchona, Drosera, Eucalyptus, Histaminum hydrochloricum, Hydrastis, Kali bic., Kali carb.,Kali iod., Myrrha, Nat. sulphuricum, Nux vom., Phosphorus, Pulsatilla, Rumex crisp., Sambucus nig., Spongia, Tussilago farfara, Verbascum, Echinacea, Lappa",81,Cough - Asthma
356,Guinea Pig Epithelium,67,CAVIA PORCELLUS SKIN
357,Betula Argentum,68,Betula Argentum
358,nifedipine,91,Nifedipine
359,factor ix complex,97,Profilnine
360,BENZALKONIUM CHLORIDE,84,Antibacterial Hand Mousse
361,Oxymorphone Hydrochloride,15,Oxymorphone Hydrochloride
362,Acetaminophen,79,pain relief
363,morphine sulfate,34,Morphine sulfate
364,"METHYL SALICYLATE, MENTHOL, CAPSICUM",11,ROCK SAUCE
365,"OCTINOXATE, TITANIUM DIOXIDE",90,DESPIGMEN PROTECTIVE 25
366,Weed mix 2630,25,"Pollens - Weeds, Weed mix 2630"
367,Hydrogen Peroxide,2,Water Jel Hydrogen Peroxide
368,CALCIUM ACETATE,91,Calcium Acetate
369,Ranitidine,99,Ranitidine
370,"Baptisia tinctoria, Echinacea, Hydrastis canadensis, Lym D Nosode, Arsenicum album, Bryonia, Chelidonium majus, Colchicum autumnale, Kalmia latifolia, Ledum palustre, Lycopodium clavatum, Phosphorus, Rhus toxicodendron,",36,Lyme
371,Methyldopa,24,Methyldopa
372,Pancrelipase,50,Creon
373,risperidone,75,risperidone
374,Lamotrigine,47,Lamotrigine
375,Nadolol,34,Nadolol
376,"Fentanyl Citrate, Bupivacaine HCl",40,"Fentanyl Citrate, Bupivacaine HCl"
377,Lamotrigine,41,Lamotrigine
378,Lithium Carbonate,94,Lithium Carbonate
379,Baclofen,67,Baclofen
380,ALCOHOL,26,BACTEX Antiseptic Hand Sanitizer
381,"LIDOCAINE HYDROCHLORIDE, MENTHOL",46,LenzaGel
382,Phendimetrazine Tartrate,38,Phendimetrazine Tartrate
383,Atriplex canescens,48,Wing Scale Pollen
384,"Chelidonium Majus, Spongia Tosta, Iodium, Fucus Vesiculosus, Germanium Sesquioxide, Thyroidinum, Calcarea Carbonica",74,Oligo Iodine
385,MICONAZOLE NITRATE,23,TRIPLE PASTE-AF
386,PANTHENOL,13,BLACK HEAD REMOVER
387,Citalopram,58,Citalopram
388,Oxygen,63,Oxygen
389,Horse Epithelium,41,EQUUS CABALLUS SKIN
390,"Ribes Nigrum, Viburnum Opulus, Quebracho, Arsenicum Iodatum, Blatta Orientalis, Naphtalinum, Pothos Foetidus",41,Asthma Plus
391,Dexamethasone Sodium Phosphate,11,Dexamethasone Sodium Phosphate
392,QUETIAPINE FUMARATE,64,QUETIAPINE FUMARATE
393,"Acetaminophen, Dextromethorphan HBr, Guaifenesin, Phenylephrine HCl",64,DG Health Fast Acting Mucus Relief
394,Dextromethorphan hydrobromide and Guaifenesin,56,Diabetic Tussin DM
395,titanium dioxide and zinc oxide,8,GM Collin
396,sildenafil citrate,1,Viagra
397,Doxylamine succinate,13,Sleep Aid
398,Sulfur,9,Joesoef Skincare Anti Acne
399,Diphenhydramine HCL,83,Diphenhydramine HCL
