ID,NAME,PERSON_IN_CHARGE,ADDRESS,STATUS
143,Feednation,Yú,51554 8th Place,bronze
144,Devify,Andrée,7938 Waywood Circle,vip
145,Skajo,Simplifiés,0603 7th Park,potential
146,Tazz,Thérèsa,53 Carioca Alley,golder
147,Rhycero,Sélène,9495 Linden Parkway,bronze
148,Fiveclub,Camélia,042 Melby Center,vip
149,Rhynoodle,Erwéi,483 Garrison Alley,diamon
150,Skipstorm,Maïté,51 Elgar Terrace,potential
151,Jatri,Andréa,3529 Schlimgen Avenue,platinum
152,Leexo,Méline,52791 Summer Ridge Road,golder
153,Jamia,Måns,2 6th Plaza,silver
154,Yodoo,Stévina,2009 Westerfield Terrace,bronze
155,Yamia,Andréanne,0384 Texas Terrace,diamon
156,Twitterlist,Lóng,57 Jana Hill,golder
157,Buzzshare,Loïca,6 Dottie Parkway,vip
158,Babblestorm,Publicité,672 Northridge Hill,silver
159,Centizu,Josée,0 Evergreen Lane,vip
160,Pixope,Annotée,682 Mariners Cove Street,potential
161,Dynabox,Méghane,1 Anderson Parkway,silver
162,Rhyzio,Léandre,2 Village Court,golder
163,Brainlounge,Valérie,5978 Montana Court,diamon
164,Gigashots,Gaëlle,285 Hazelcrest Crossing,vip
165,Yombu,Geneviève,4791 Schiller Plaza,silver
166,Quaxo,Estée,11 Haas Road,platinum
167,Zoonoodle,Camélia,72 Moland Court,diamon
168,Babblestorm,Maéna,5800 Manufacturers Trail,bronze
169,Oloo,Wá,06481 Arapahoe Parkway,silver
170,Yakitri,Kévina,2428 Barnett Plaza,potential
171,Riffpath,Réservés,399 Steensland Terrace,diamon
172,Trudoo,Björn,1827 Bunker Hill Point,potential
173,Jazzy,Göran,05808 Heffernan Hill,potential
174,Trilith,Bérénice,74800 Ilene Center,bronze
175,Eadel,Mén,466 Blue Bill Park Drive,vip
176,Youspan,Mélanie,9 Vahlen Alley,golder
177,Dynabox,Aimée,670 Fulton Hill,platinum
178,Feedfire,Anaé,3 Waywood Point,platinum
179,Eare,Cléopatre,7138 Oriole Point,platinum
180,Devcast,Märta,512 Buena Vista Place,diamon
181,Voonix,Maïlis,60328 Clarendon Way,potential
182,Blogtags,Maïwenn,4053 Heffernan Center,platinum
183,Innotype,Gaïa,01 Sachtjen Plaza,silver
184,Innojam,Béatrice,26 Crownhardt Street,silver
185,Chatterpoint,Néhémie,9432 Monterey Way,platinum
186,Abatz,Maëlla,7795 Nobel Circle,golder
187,Tagfeed,Pénélope,8074 Lakewood Gardens Circle,vip
188,Pixoboo,Solène,1 Hoard Lane,potential
189,Divanoodle,Méghane,676 Manufacturers Point,bronze
190,Fatz,Chloé,8 Morrow Road,silver
191,Thoughtstorm,Gaïa,03 Florence Street,golder
192,Blogtag,Kù,58 Meadow Ridge Street,platinum
193,Avavee,Maëly,503 International Terrace,silver
194,Jatri,Maëlann,603 Corben Hill,diamon
195,Tagopia,Maï,102 Dahle Crossing,platinum
196,BlogXS,Anaïs,318 Weeping Birch Drive,potential
197,Viva,Göran,4 Bluestem Trail,golder
198,Kwimbee,Sélène,5 Mockingbird Trail,potential
199,Devcast,Séverine,621 Valley Edge Way,bronze
200,Twinte,Maëlyss,70 Utah Hill,potential
201,Quimba,Mylène,3 Warbler Drive,silver
202,Fivespan,Vénus,649 Arapahoe Street,golder
203,Meemm,Maëlla,15008 Gerald Point,vip
204,Buzzdog,Angélique,87644 Kensington Street,potential
205,Twitterlist,Audréanne,32 Green Center,bronze
206,Cogibox,Andréanne,54459 Sherman Park,diamon
207,Skidoo,Kallisté,52406 Reinke Trail,bronze
208,DabZ,Zoé,087 Gateway Drive,potential
209,Twimbo,Cléa,71 Briar Crest Terrace,bronze
210,Podcat,Mårten,194 Memorial Avenue,diamon
211,Mybuzz,Gaëlle,3 Anderson Place,bronze
212,Oyoloo,Aurélie,444 Fremont Court,diamon
213,Photospace,Cécile,2538 Florence Court,vip
214,Flashpoint,Maëline,3707 Nelson Alley,vip
215,Realpoint,Lucrèce,6045 Arapahoe Junction,golder
216,Yacero,Åsa,86294 Summer Ridge Terrace,potential
217,Zoomcast,Aí,2 Vernon Parkway,golder
218,Vinte,Vénus,403 Mendota Center,golder
219,Youspan,Adèle,2692 Claremont Center,potential
220,Edgeclub,Marlène,3288 Spenser Court,platinum
221,Voomm,Félicie,979 Northridge Plaza,silver
222,Meevee,Joséphine,5 Laurel Way,bronze
223,Riffpedia,Méghane,1174 Shasta Road,silver
224,Shufflebeat,Célia,4 Donald Drive,silver
225,Flipopia,Anaëlle,58 Carioca Center,potential
226,Cogidoo,Sòng,4557 Raven Street,diamon
227,Browsecat,André,0654 Brentwood Alley,diamon
228,Realbridge,Yè,70271 Corben Terrace,silver
229,Thoughtblab,Méthode,2 Stephen Pass,diamon
230,Skaboo,Laurélie,985 Quincy Road,diamon
231,Realbridge,Intéressant,51 Killdeer Road,bronze
232,Rhynoodle,Bécassine,9 Norway Maple Road,potential
233,Dabjam,Naéva,2726 Moland Junction,golder
234,Blogpad,Thérèsa,845 Carpenter Hill,diamon
235,Lazz,Åsa,09723 Myrtle Court,golder
236,Rhyzio,Maëline,13535 Arrowood Lane,golder
237,Topicware,Dafnée,42377 Di Loreto Junction,bronze
238,Buzzshare,Vérane,76659 Forster Hill,golder
239,Centidel,Tán,662 Claremont Place,diamon
240,Rhycero,Annotée,63 Stuart Drive,golder
241,Tagfeed,Mahélie,94989 Gina Hill,bronze
242,Gabcube,Mélinda,1466 Old Shore Lane,bronze
243,Dazzlesphere,Néhémie,68651 Walton Street,bronze
244,Pixope,Mahélie,136 Village Green Street,silver
245,Meedoo,Naëlle,503 Lunder Plaza,platinum
246,Dabvine,Börje,7 Gina Center,diamon
247,Reallinks,Cunégonde,1 Melvin Road,potential
248,Jaxworks,Eléonore,1 Norway Maple Crossing,silver
249,Youbridge,Personnalisée,51673 Clove Road,silver
250,Pixoboo,Océanne,3 Ryan Place,golder
251,Meetz,Adélie,1616 5th Junction,diamon
252,Tagtune,Yénora,32185 Vahlen Park,bronze
253,Yakidoo,Valérie,0723 Fremont Alley,diamon
254,Eare,Björn,59 Stang Street,potential
255,Aibox,Lucrèce,7 Stephen Trail,platinum
256,Leenti,Céline,1404 Memorial Point,potential
257,Devcast,Björn,962 Prairie Rose Crossing,vip
258,Zoomzone,Dà,14133 Crest Line Parkway,vip
259,Quaxo,Aurélie,39106 Dottie Hill,diamon
260,Eadel,Véronique,500 Longview Alley,vip
261,Jatri,Lauréna,806 Hoard Junction,golder
262,Jayo,Alizée,209 Green Road,vip
263,Skajo,Maëlys,03040 Bayside Point,potential
264,Dabvine,Örjan,1 Nobel Street,platinum
265,Edgewire,Åslög,8 Mayer Parkway,platinum
266,Buzzdog,Mårten,22377 Farragut Center,vip
267,Babblestorm,Françoise,2 Messerschmidt Avenue,potential
268,Meetz,Valérie,3 Maywood Trail,vip
269,Eire,Loïc,4043 Green Avenue,vip
270,Jabberbean,Noëlla,7740 Calypso Court,golder
271,Centimia,Lén,5818 Elgar Parkway,potential
272,Vidoo,Kévina,3 2nd Way,golder
273,Feedspan,Pål,9732 Melby Terrace,silver
274,Edgeblab,Chloé,986 Delaware Court,platinum
275,Wikizz,Tú,9 2nd Drive,potential
276,Voolith,Séréna,63 Russell Center,vip
277,Oloo,Lauréna,2 Continental Way,diamon
278,Zazio,Annotés,43 Butternut Avenue,platinum
279,Zoozzy,Andrée,72 Holmberg Hill,silver
280,Dabjam,Lauréna,9985 Swallow Park,platinum
281,Oyoyo,Gisèle,89854 Bonner Place,platinum
282,Dynabox,Pò,18145 Forest Drive,platinum
283,Shufflester,Méthode,06 Amoth Avenue,diamon
284,Brainlounge,Anaëlle,409 Oak Circle,potential
285,Linkbridge,Gwenaëlle,4598 Loomis Circle,vip
286,Voonte,Thérèse,4917 Hanson Drive,golder
287,Rhynyx,Kallisté,840 Mockingbird Pass,golder
288,Livefish,Örjan,57669 Northport Park,platinum
289,Kamba,Agnès,4854 Lillian Crossing,silver
290,Aimbo,Cléa,239 Gina Alley,golder
291,Yabox,Gwenaëlle,9020 Dwight Center,vip
292,Buzzbean,Almérinda,79 School Junction,silver
293,Pixoboo,Jú,59089 Mifflin Hill,golder
294,Midel,Mélinda,3271 Mayfield Road,golder
295,Skalith,Mahélie,697 Spenser Terrace,potential
296,Thoughtstorm,Médiamass,89 Saint Paul Point,vip
297,Reallinks,Léa,8 Sunbrook Plaza,potential
298,Buzzshare,Åke,7 Riverside Park,vip
299,Dabshots,Chloé,1 Farwell Road,silver
300,Dynabox,Danièle,62570 Lindbergh Street,platinum
301,Shufflebeat,Uò,2475 Gerald Place,golder
302,Ozu,Océanne,817 Badeau Avenue,bronze
303,Twimbo,Renée,89973 Manley Court,vip
304,Trudoo,Laïla,70518 Hollow Ridge Court,vip
305,Lazz,Östen,268 Alpine Circle,platinum
306,Buzzbean,Naëlle,62 Westerfield Terrace,bronze
307,Dynazzy,Göran,33 Parkside Street,platinum
308,Youbridge,Tán,33 Waubesa Center,bronze
309,Jaxworks,Táng,12093 Waxwing Terrace,vip
310,Yata,Anaïs,5 Rowland Alley,potential
311,Skinder,Pål,21863 Scofield Point,silver
312,Yakijo,Léandre,20471 Bashford Street,bronze
313,Voonyx,Maëlys,93 Morrow Avenue,bronze
314,Divavu,Mélodie,7547 Oak Valley Hill,silver
315,Vinder,Göran,764 Knutson Place,potential
316,Tagchat,Françoise,21 Bashford Place,vip
317,Wordify,Esbjörn,18 Londonderry Avenue,golder
318,Zazio,Anaé,1 Marquette Circle,platinum
319,Skyble,Lauréna,95461 Hallows Road,silver
320,Zooxo,Dorothée,7375 1st Center,diamon
321,Meevee,Anaël,47 Bunker Hill Pass,platinum
322,Dablist,Cloé,5 Sage Way,platinum
323,Quatz,Adèle,52242 Blue Bill Park Circle,golder
324,Edgewire,Annotés,8 Northfield Lane,silver
325,Jayo,Méghane,20095 Sherman Circle,vip
326,Brightdog,Médiamass,5 Vermont Lane,platinum
327,Ozu,Renée,7 3rd Place,platinum
328,Youfeed,Bénédicte,085 School Parkway,golder
329,Skibox,Léonie,0 Stuart Drive,diamon
330,Aibox,Bénédicte,4 Gale Circle,platinum
331,Yozio,Lucrèce,7 Anhalt Hill,platinum
332,Twinder,Maëlle,4898 Ramsey Circle,silver
333,Fivespan,Léane,1334 Oak Drive,diamon
334,Twitterbeat,Maëlys,827 Monterey Crossing,platinum
335,Meevee,Célestine,99 Twin Pines Junction,golder
336,Meezzy,Cinéma,4747 Charing Cross Lane,silver
337,Gabspot,Ruì,49911 Darwin Circle,platinum
338,Jazzy,Mélodie,714 Northland Junction,potential
339,Voonyx,Marie-françoise,1 Elgar Circle,golder
340,Realmix,Réjane,42665 Surrey Court,vip
341,Fliptune,Noémie,1116 Pawling Park,bronze
342,Photojam,Alizée,56 Hovde Circle,golder
343,Dabtype,Styrbjörn,441 Ludington Road,bronze
344,Voonder,Lén,4 Victoria Circle,silver
345,Blognation,Céline,1 Gina Trail,silver
346,Yodel,Aí,9256 Waxwing Street,diamon
347,Roodel,Maïlis,5 Thompson Way,golder
348,Mycat,Ruò,1980 Bartelt Parkway,bronze
349,Innotype,Yè,4 Del Mar Road,platinum
350,Skiba,Véronique,318 Lakewood Circle,diamon
351,Photolist,Naéva,03982 Buhler Plaza,platinum
352,Miboo,Alizée,3 Eastlawn Circle,vip
353,Meevee,Ophélie,958 Anniversary Center,potential
354,Quire,Marie-ève,5 Vermont Court,diamon
355,Gigaclub,Béatrice,19 Kipling Pass,platinum
356,Roombo,Mélissandre,9655 Oneill Lane,golder
357,Podcat,Fèi,5031 Norway Maple Circle,bronze
358,Lajo,Mahélie,043 Onsgard Trail,silver
359,Yotz,Marie-thérèse,21646 Pankratz Way,bronze
360,Bubbletube,Gwenaëlle,14396 Mitchell Circle,bronze
361,Mynte,Lén,7 Laurel Center,golder
362,Topiclounge,Wá,29104 Thierer Circle,bronze
363,Zoonder,Méthode,085 Graedel Hill,potential
364,Realmix,Bénédicte,22 North Trail,potential
365,Twinder,Cécile,7 Claremont Circle,potential
366,Oozz,Simplifiés,27805 Sage Place,golder
367,Zoomcast,Cécilia,936 Bay Crossing,diamon
368,Trilith,Chloé,42 Oriole Avenue,bronze
369,Vipe,Maïlis,3575 Muir Hill,vip
370,Realmix,Alizée,8665 Washington Road,bronze
371,Meemm,Marie-josée,9959 Dahle Court,platinum
372,Eidel,Loïs,0 Delladonna Crossing,potential
373,Realfire,Cléopatre,65380 Becker Pass,silver
374,Yambee,Aurélie,7 Burrows Drive,platinum
375,Kwideo,Renée,7 Aberg Junction,potential
376,Meedoo,Åslög,25007 Pierstorff Parkway,potential
377,Quaxo,Véronique,43322 Dorton Avenue,vip
378,Mycat,Personnalisée,5 Warrior Trail,platinum
379,Ozu,Dorothée,5 Hansons Alley,platinum
380,Babbleset,Alizée,9 Atwood Road,platinum
381,Voonder,Maïlis,2 Blackbird Court,golder
382,Vinder,Anaïs,78207 Old Gate Crossing,potential
383,Eamia,Eléonore,36 Mitchell Center,platinum
384,Jaloo,Clélia,838 Barby Center,potential
385,Innotype,Adélie,49 Farmco Parkway,diamon
386,Plajo,Måns,12 Cambridge Point,bronze
387,Brainlounge,Mårten,806 Lyons Alley,silver
388,Oyoyo,Agnès,18956 Jackson Alley,potential
389,Feedfish,Tán,5517 Starling Way,diamon
390,Topicstorm,Adélaïde,8 Jackson Circle,bronze
391,Oyoloo,Garçon,60 Fieldstone Lane,potential
392,Realbuzz,Cléa,40 Caliangt Drive,golder
393,Mymm,Marie-thérèse,59067 Barnett Park,bronze
394,Vinte,Personnalisée,400 Burrows Avenue,potential
395,Wikizz,Dà,585 American Ash Parkway,golder
396,Gabtype,Lài,30636 Transport Alley,potential
397,Meevee,Yénora,86971 Corben Crossing,silver
398,Tanoodle,Ophélie,1672 Warbler Court,vip
399,Janyx,Anaïs,28325 Kipling Parkway,vip
400,Jabbersphere,Chloé,3556 Fairfield Way,platinum
401,Janyx,Geneviève,8 Kings Avenue,potential
402,Voomm,Vérane,3838 Hintze Terrace,silver
403,Plambee,Cécile,14 Brentwood Alley,vip
404,Thoughtstorm,Géraldine,979 Washington Trail,platinum
405,Ainyx,Simplifiés,0480 Bartelt Trail,vip
406,Flipopia,Wá,810 Cody Park,platinum
407,Brainsphere,Béatrice,66 Fordem Alley,diamon
408,Edgetag,Kévina,64116 Hollow Ridge Parkway,silver
409,Devcast,Valérie,80 Stone Corner Road,bronze
410,Oozz,Nélie,237 Maryland Avenue,potential
411,Latz,Régine,37477 Scofield Trail,golder
412,Chatterpoint,Océane,1 Anzinger Point,bronze
413,Divanoodle,Aí,14494 Blaine Parkway,potential
414,Twitterbridge,Nadège,41 Pankratz Lane,platinum
415,Jatri,Maëlle,47531 Nelson Pass,diamon
416,Thoughtbeat,Andréa,5 Banding Terrace,silver
417,Thoughtbridge,Dù,251 Barby Alley,platinum
418,Riffpedia,Méryl,00480 Crest Line Court,bronze
419,Wikibox,Méthode,633 Luster Crossing,platinum
420,Avamba,Maëlys,0118 Armistice Place,platinum
421,Brightbean,Frédérique,2953 Nelson Point,platinum
422,Einti,Gaëlle,6 Cordelia Lane,bronze
423,Topicshots,Noëlla,09 Moland Trail,golder
424,BlogXS,Mélinda,8406 Dexter Road,silver
425,Gabvine,Alizée,805 International Center,platinum
426,Meeveo,Lorène,3 Debs Circle,diamon
427,Devify,Renée,3422 Vermont Center,potential
428,Skalith,Bérengère,41133 Bluestem Center,silver
429,Leenti,Cinéma,03116 Northland Point,diamon
430,Katz,Desirée,34898 Oneill Parkway,potential
431,Voomm,Vérane,4130 Straubel Drive,diamon
432,Twitterworks,Maéna,643 Stuart Court,silver
433,Feedfish,Bécassine,262 Rusk Drive,vip
434,Meembee,Annotés,1 Bowman Alley,golder
435,Agimba,Mahélie,565 Melody Alley,potential
436,Livefish,Cléa,8787 High Crossing Place,vip
437,Ooba,Camélia,8384 Fuller Point,diamon
438,Tagpad,Michèle,3 Corben Point,golder
439,Meezzy,Loïs,64 Jana Plaza,bronze
440,Skinix,Dorothée,6 Summer Ridge Terrace,golder
441,Skipfire,Märta,77 Rigney Street,bronze
442,Skynoodle,Angèle,2 Talmadge Avenue,potential
443,Reallinks,Kù,628 Summit Court,golder
444,Gigashots,Liè,443 Sycamore Way,golder
445,Midel,Loïs,80412 Glendale Avenue,vip
446,Skyba,Estève,04714 Becker Street,bronze
447,Livepath,Océane,74 Riverside Lane,bronze
448,Jayo,Andréanne,62 Forster Parkway,platinum
449,Lazz,Garçon,2 Fremont Alley,diamon
450,Chatterpoint,Tán,453 Hazelcrest Park,diamon
451,Ailane,Méline,03817 Morning Lane,platinum
452,Yodel,Eléonore,9776 Bultman Crossing,golder
453,Mynte,Märta,4 Independence Center,bronze
454,Yakijo,Clémence,69195 Spenser Crossing,platinum
455,Camido,Märta,1 Grasskamp Crossing,platinum
456,Oba,Anaël,3993 Nobel Plaza,potential
457,Mudo,Salomé,88 Calypso Center,potential
458,Yozio,Lèi,976 Marcy Park,bronze
459,Edgeblab,Pénélope,0616 Claremont Avenue,bronze
460,Yoveo,Börje,04 Stoughton Lane,bronze
461,Gabvine,Léana,8940 Continental Road,golder
462,Dynazzy,Nadège,305 Loomis Pass,bronze
463,Devshare,Loïc,4 Algoma Circle,potential
464,Skivee,Lyséa,515 Florence Parkway,potential
465,Minyx,Clémentine,1 Knutson Court,potential
466,Feedbug,Méng,13 Warner Street,bronze
467,Ooba,Adèle,62 Columbus Circle,silver
468,Gigazoom,Aimée,152 Rowland Avenue,bronze
469,Skaboo,Desirée,92293 Magdeline Alley,silver
470,Skalith,Bérénice,74148 Hermina Avenue,platinum
471,Photobug,Yénora,5951 East Center,diamon
472,Thoughtbeat,Yóu,531 Meadow Valley Street,silver
473,Trilia,Marlène,717 Lakewood Plaza,diamon
474,Yodoo,Néhémie,9 Evergreen Court,vip
475,Thoughtstorm,Björn,34226 Meadow Ridge Park,silver
476,Quire,Audréanne,17154 Washington Park,golder
477,Blogpad,Thérèse,9028 Superior Crossing,potential
478,Voonder,Réservés,29 Fulton Place,bronze
479,Wikido,Maéna,861 Sommers Trail,diamon
480,Gigazoom,Hélène,02552 Southridge Junction,bronze
481,Skivee,Gwenaëlle,921 Mitchell Alley,bronze
482,Katz,Andréa,78574 Eagle Crest Way,golder
483,Topiclounge,Néhémie,22 Carpenter Junction,bronze
484,Wikizz,Maïly,36 Bowman Lane,potential
485,Linktype,Marie-josée,59365 6th Point,golder
486,Fliptune,Bérangère,056 Anthes Trail,golder
487,Dynabox,Björn,4 Troy Trail,vip
488,Flashpoint,Wá,99 Dayton Crossing,potential
489,Gabspot,Cléopatre,97 Cordelia Drive,diamon
490,Ooba,Michèle,5 Shoshone Point,potential
491,Jetpulse,Uò,4 Forest Run Drive,diamon
492,Browsedrive,Mélina,770 Summit Place,potential
493,Wordpedia,Géraldine,5 Manley Crossing,golder
494,LiveZ,Vénus,1 Morrow Drive,silver
495,Rhynoodle,Frédérique,30506 Cascade Hill,diamon
496,Thoughtmix,Faîtes,27 Carpenter Road,golder
497,Avamm,Salomé,9332 North Trail,diamon
498,Ntags,Solène,4544 Stang Circle,vip
499,Photofeed,Simplifiés,986 Lakewood Gardens Circle,golder
500,Blogpad,Göran,05 Rigney Park,platinum
501,Skimia,Intéressant,29 Bluestem Lane,diamon
502,Photobean,Lén,4 Nobel Way,platinum
503,Mydeo,Renée,51 Heath Alley,platinum
504,Vimbo,Erwéi,530 Iowa Park,silver
505,Cogilith,Gisèle,4 Petterle Hill,platinum
506,Quinu,Táng,9354 Killdeer Parkway,bronze
507,Browsecat,Lài,608 Mendota Crossing,golder
508,Oyonder,Tú,4 Hagan Place,golder
509,Quaxo,Magdalène,09249 Chinook Trail,platinum
510,Thoughtworks,Åsa,1291 Hayes Hill,silver
511,Snaptags,Faîtes,6 Pierstorff Alley,diamon
512,Yodel,Maëline,8 Leroy Avenue,golder
513,Twimm,Judicaël,2970 Leroy Court,bronze
514,Brainbox,Célia,7991 Darwin Street,golder
515,Nlounge,Maïlys,673 Harper Crossing,diamon
