ID,ID_MEDIA,ID_CATEGORY,ID_TRANSPORTER,ID_MATERIALS,ID_COMPANY,COUNTRY,NAME,PRICE,DESCRIPTION,QUANTITY,STOCK,WEIGHT,WIDTH,LENGHT,STATUS,HEIGHT
14,5,42,63,97,6,United States,Common dolphin,20965556,ac nibh fusce lacus purus aliquet at feugiat non pretium quis lectus suspendisse potenti in eleifend quam a,35672,40268,93967,666,5126,INACTIVE,390
15,98,59,40,38,33,Indonesia,Water moccasin,46944221,quam turpis adipiscing lorem vitae mattis nibh ligula nec sem duis aliquam,92737,53797,8130,989,87177,ACTIVE,64
16,39,57,14,29,39,Indonesia,Common raccoon,53576367,malesuada in imperdiet et commodo vulputate justo in blandit ultrices enim lorem ipsum dolor sit amet,89386,83874,7310,832,20075,VERIFYING,992
17,49,98,76,79,72,Portugal,"Bird, secretary",63865869,pede malesuada in imperdiet et commodo vulputate justo in blandit ultrices enim lorem ipsum dolor sit amet consectetuer,1899,8624,27619,760,76769,INACTIVE,652
18,35,45,61,96,30,China,Clark's nutcracker,547816,nullam orci pede venenatis non sodales sed tincidunt eu felis fusce posuere,33194,61678,63155,961,95840,VERIFYING,263
19,54,77,3,78,7,Indonesia,Rhesus macaque,98415271,tincidunt nulla mollis molestie lorem quisque ut erat curabitur gravida,56142,61584,12968,32,85361,INACTIVE,732
20,97,6,33,87,8,South Africa,"Hedgehog, south african",11604152,pellentesque viverra pede ac diam cras pellentesque volutpat dui maecenas,29013,25173,6579,718,6202,SOLD OUT,648
21,98,97,2,93,1,Indonesia,"Macaque, rhesus",71790123,ligula pellentesque ultrices phasellus id sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie,15843,52925,41578,637,25369,VERIFYING,133
22,14,31,36,82,95,Turkmenistan,"Fox, blue",78230904,potenti nullam porttitor lacus at turpis donec posuere metus vitae ipsum aliquam non mauris morbi non lectus aliquam sit amet,39496,17547,11893,455,38942,AVAILABLE,15
23,32,41,43,65,100,Indonesia,White-fronted capuchin,75984581,iaculis justo in hac habitasse platea dictumst etiam faucibus cursus urna ut tellus nulla ut erat id mauris vulputate,58394,61984,19527,393,2907,INACTIVE,373
24,28,13,81,28,91,Ireland,Butterfly (unidentified),5424069,montes nascetur ridiculus mus etiam vel augue vestibulum rutrum rutrum neque aenean auctor gravida sem praesent id massa id nisl,63477,77113,15313,437,47696,INACTIVE,964
25,51,55,26,71,10,Slovenia,Yellow-brown sungazer,89953287,blandit nam nulla integer pede justo lacinia eget tincidunt eget tempus vel pede,72570,43589,19935,760,48499,INACTIVE,478
26,90,59,80,13,31,Ireland,Snowy sheathbill,76549398,nec molestie sed justo pellentesque viverra pede ac diam cras pellentesque volutpat dui maecenas tristique est,73480,49067,6274,984,32471,REPORTING,960
27,55,69,87,22,50,China,"Gull, southern black-backed",91033294,potenti in eleifend quam a odio in hac habitasse platea dictumst maecenas ut massa quis augue luctus,92522,39796,69094,9,30049,VERIFYING,717
28,71,60,82,77,54,Poland,"Lemming, collared",10143512,condimentum id luctus nec molestie sed justo pellentesque viverra pede ac diam,40386,93729,38488,130,11530,SOLD OUT,120
29,65,74,52,24,20,Russia,Cape clawless otter,4190069,posuere cubilia curae duis faucibus accumsan odio curabitur convallis duis,87233,74477,573,959,89748,SOLD OUT,287
30,66,63,43,87,68,China,"Dog, raccoon",24432722,lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc,37807,60477,62279,18,2301,INACTIVE,240
31,24,59,38,46,91,Burkina Faso,Common zebra,6274553,posuere cubilia curae nulla dapibus dolor vel est donec odio justo,85122,61712,68221,175,50541,SOLD OUT,453
32,94,47,28,3,37,Portugal,"Crane, brolga",51283723,vulputate vitae nisl aenean lectus pellentesque eget nunc donec quis orci eget orci vehicula condimentum curabitur in,75468,74802,69115,20,81993,INACTIVE,327
33,38,40,98,91,25,Yemen,"Barbet, black-collared",56427768,vitae quam suspendisse potenti nullam porttitor lacus at turpis donec posuere metus vitae ipsum aliquam non,22502,48792,70087,801,40815,INACTIVE,540
34,32,8,70,59,88,Zambia,Red-winged blackbird,95096866,sit amet lobortis sapien sapien non mi integer ac neque,62749,86654,51011,184,23453,REPORTING,78
35,57,42,4,90,10,Poland,Ring-tailed gecko,18345111,platea dictumst morbi vestibulum velit id pretium iaculis diam erat fermentum justo nec condimentum neque sapien,74117,49979,36505,23,36612,ACTIVE,518
36,37,65,95,52,91,Brazil,Woodchuck,18963782,nec sem duis aliquam convallis nunc proin at turpis a pede posuere nonummy integer non,78890,20953,87473,248,31158,VERIFYING,937
37,90,6,20,35,52,Armenia,Cormorant (unidentified),68192182,a nibh in quis justo maecenas rhoncus aliquam lacus morbi,15473,90732,2252,444,76148,REPORTING,952
38,66,81,36,15,26,Indonesia,Butterfly (unidentified),46643969,pede malesuada in imperdiet et commodo vulputate justo in blandit ultrices enim lorem ipsum dolor sit,9902,72275,75007,37,35127,AVAILABLE,300
39,27,42,100,79,95,United States,Spectacled caiman,27571181,elementum pellentesque quisque porta volutpat erat quisque erat eros viverra eget congue eget semper rutrum nulla,76185,97111,26385,734,928,SOLD OUT,501
40,20,1,57,75,11,China,"Cormorant, neotropic",86548091,pede justo lacinia eget tincidunt eget tempus vel pede morbi porttitor lorem id ligula suspendisse ornare consequat,28492,94765,96921,515,67353,REPORTING,330
41,76,10,41,37,22,Russia,"Lemur, sportive",9184716,molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc donec,43971,92436,16395,857,76923,SOLD OUT,220
42,58,26,73,94,58,Indonesia,"Beaver, eurasian",84089998,vulputate justo in blandit ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing elit proin interdum mauris,97076,69333,83451,781,72013,REPORTING,233
43,66,75,44,67,36,Peru,Groundhog,9898622,placerat ante nulla justo aliquam quis turpis eget elit sodales scelerisque mauris sit amet eros suspendisse accumsan tortor quis turpis,60608,91742,59780,344,68647,SOLD OUT,98
44,51,54,63,27,90,China,Puku,17605508,rutrum at lorem integer tincidunt ante vel ipsum praesent blandit lacinia erat vestibulum sed magna at nunc commodo placerat,40413,48650,71070,305,69732,ACTIVE,846
45,1,85,4,19,62,Luxembourg,"Cat, miner's",23218916,morbi non quam nec dui luctus rutrum nulla tellus in sagittis dui vel nisl duis ac nibh fusce lacus purus,79421,15595,15114,347,69394,ACTIVE,737
46,91,69,39,82,35,Finland,"Lechwe, kafue flats",9032753,sem sed sagittis nam congue risus semper porta volutpat quam,7837,97268,21303,815,59217,ACTIVE,774
47,18,20,86,87,33,Nicaragua,Lava gull,91144853,enim lorem ipsum dolor sit amet consectetuer adipiscing elit proin interdum mauris non ligula pellentesque,79697,72264,62539,178,31036,SOLD OUT,784
48,38,70,57,11,17,Comoros,Ornate rock dragon,92409228,risus dapibus augue vel accumsan tellus nisi eu orci mauris lacinia,8447,61899,65954,459,28496,AVAILABLE,166
49,85,39,56,98,82,Peru,Manatee,37793106,ipsum praesent blandit lacinia erat vestibulum sed magna at nunc commodo placerat praesent blandit nam,77318,39787,94247,897,4935,AVAILABLE,926
50,51,77,58,78,51,Poland,"Stork, jabiru",12684263,suscipit ligula in lacus curabitur at ipsum ac tellus semper interdum mauris ullamcorper purus sit amet nulla quisque arcu libero,49326,27626,55961,132,4755,INACTIVE,790
51,28,45,13,46,6,Portugal,Black curlew,95444447,et eros vestibulum ac est lacinia nisi venenatis tristique fusce,23944,95013,24638,142,23049,INACTIVE,442
52,41,1,61,90,88,China,"Flamingo, roseat",98970381,lobortis ligula sit amet eleifend pede libero quis orci nullam molestie nibh in lectus pellentesque at,94550,89906,90433,862,6634,ACTIVE,172
53,36,63,54,76,67,Greece,Savanna fox,98344116,ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin,19172,52196,5378,80,74925,SOLD OUT,968
54,35,36,37,70,31,Argentina,Black-tailed prairie dog,35221573,pellentesque at nulla suspendisse potenti cras in purus eu magna vulputate luctus cum sociis,67820,39099,87234,602,15229,VERIFYING,134
55,2,60,51,7,78,China,Rufous-collared sparrow,86109678,volutpat erat quisque erat eros viverra eget congue eget semper rutrum nulla nunc purus,73308,77611,67373,250,1801,SOLD OUT,384
56,54,16,72,48,93,Czech Republic,"Shelduck, european",68833447,phasellus sit amet erat nulla tempus vivamus in felis eu sapien cursus vestibulum proin eu mi nulla ac,49117,64573,11837,188,13043,AVAILABLE,41
57,58,76,69,51,23,Ireland,"Lizard, mexican beaded",14742913,euismod scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula nec sem,23203,7467,29162,213,84331,AVAILABLE,141
58,97,2,29,21,45,Indonesia,"Gull, dusky",68132721,arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc donec quis,88429,43696,72438,287,84541,VERIFYING,637
59,79,65,23,2,95,Peru,Red-breasted cockatoo,13208540,magna at nunc commodo placerat praesent blandit nam nulla integer,24161,98991,48593,493,13275,REPORTING,563
60,27,25,92,87,19,Indonesia,"Deer, red",82573287,suspendisse accumsan tortor quis turpis sed ante vivamus tortor duis mattis egestas metus aenean fermentum donec,19479,58897,28919,784,51220,SOLD OUT,435
61,65,19,30,49,11,Dominica,Orca,57624909,tincidunt eu felis fusce posuere felis sed lacus morbi sem mauris laoreet ut rhoncus aliquet,94052,23542,28834,589,50899,ACTIVE,758
62,35,65,79,12,24,Dominican Republic,Short-nosed bandicoot,716775,pretium quis lectus suspendisse potenti in eleifend quam a odio in hac habitasse,26669,2205,20423,746,2805,AVAILABLE,231
63,8,13,53,10,83,Kazakhstan,"Bird, black-throated butcher",80762807,est et tempus semper est quam pharetra magna ac consequat metus sapien ut nunc vestibulum ante ipsum primis,83377,77131,81304,200,70875,REPORTING,12
64,4,97,19,82,68,Indonesia,"Goose, andean",54532346,duis bibendum morbi non quam nec dui luctus rutrum nulla,59843,68956,33218,46,76081,SOLD OUT,824
65,86,80,91,24,70,Russia,"Vulture, white-headed",99870663,eget orci vehicula condimentum curabitur in libero ut massa volutpat convallis morbi,53388,85780,95652,251,15886,VERIFYING,645
66,93,87,16,33,38,Nicaragua,"Sandpiper, spotted wood",97597766,sed sagittis nam congue risus semper porta volutpat quam pede lobortis ligula sit amet eleifend pede libero,17429,99840,28212,45,35917,SOLD OUT,523
67,39,57,78,54,46,Colombia,"Lion, australian sea",82819050,elit proin interdum mauris non ligula pellentesque ultrices phasellus id sapien,91449,64218,63897,72,68907,AVAILABLE,361
68,86,59,74,43,17,Croatia,South American meadowlark (unidentified),96517031,eu est congue elementum in hac habitasse platea dictumst morbi vestibulum velit id pretium iaculis diam erat,25124,81589,33787,23,53786,VERIFYING,474
69,28,82,52,35,70,Russia,"Kookaburra, laughing",98871162,mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel sem sed,1261,95783,6169,973,31621,INACTIVE,916
70,83,84,65,12,9,Lithuania,"Bustard, denham's",17702972,congue risus semper porta volutpat quam pede lobortis ligula sit amet eleifend pede libero,15025,50720,41993,531,36214,AVAILABLE,79
71,26,33,57,26,84,Russia,Whip-tailed wallaby,41588677,primis in faucibus orci luctus et ultrices posuere cubilia curae nulla dapibus dolor vel est donec odio justo sollicitudin ut,61151,41983,223,816,63168,INACTIVE,447
72,80,42,41,51,74,Russia,Secretary bird,77582786,non pretium quis lectus suspendisse potenti in eleifend quam a odio in hac habitasse platea,27022,72499,2508,166,56004,VERIFYING,105
73,57,28,47,8,20,China,Comb duck,71082610,cursus vestibulum proin eu mi nulla ac enim in tempor turpis nec euismod scelerisque,21146,87790,51556,198,59798,ACTIVE,989
74,12,39,47,100,96,Indonesia,White-browed sparrow weaver,46508860,nisl duis ac nibh fusce lacus purus aliquet at feugiat non pretium quis lectus suspendisse potenti in,96016,51169,15427,897,12562,INACTIVE,533
75,14,41,17,19,70,France,"Buffalo, asian water",91821550,potenti cras in purus eu magna vulputate luctus cum sociis natoque penatibus et magnis dis parturient,31465,9511,81706,273,16254,SOLD OUT,631
76,83,66,74,7,3,Afghanistan,Asian water buffalo,266624,erat tortor sollicitudin mi sit amet lobortis sapien sapien non mi integer ac neque duis bibendum morbi non,83826,15517,67165,810,25517,VERIFYING,620
77,61,54,31,81,64,France,"Parrot, hawk-headed",20438699,quis odio consequat varius integer ac leo pellentesque ultrices mattis,12131,51396,56832,989,56950,ACTIVE,135
78,34,66,9,30,51,Finland,"Grebe, little",293537,nisi volutpat eleifend donec ut dolor morbi vel lectus in quam,21698,64185,53,850,29880,AVAILABLE,809
79,4,60,99,14,56,Thailand,"Goose, spur-winged",57488706,vel nisl duis ac nibh fusce lacus purus aliquet at,85237,18681,84233,398,97636,VERIFYING,126
80,24,12,71,34,48,China,Asian water dragon,16358243,quam nec dui luctus rutrum nulla tellus in sagittis dui vel,97342,62087,44233,542,6385,AVAILABLE,187
81,25,22,95,56,46,Honduras,Crested bunting,39556923,mi sit amet lobortis sapien sapien non mi integer ac neque duis bibendum morbi non quam nec dui,64810,89284,49845,545,57789,AVAILABLE,873
82,66,57,86,55,69,Russia,"Heron, green",35772485,sapien sapien non mi integer ac neque duis bibendum morbi non,83098,77565,85536,158,38756,INACTIVE,576
83,76,46,57,72,92,China,Burmese brown mountain tortoise,88759618,eleifend quam a odio in hac habitasse platea dictumst maecenas ut massa quis augue luctus tincidunt nulla,60276,11306,2672,555,23929,VERIFYING,51
84,87,60,51,66,53,Netherlands,"Colobus, white-mantled",52489508,convallis tortor risus dapibus augue vel accumsan tellus nisi eu orci mauris lacinia sapien quis libero,17360,92455,84799,32,26250,AVAILABLE,74
85,11,25,22,18,86,Portugal,Canada goose,27195374,integer non velit donec diam neque vestibulum eget vulputate ut ultrices vel augue vestibulum,99056,37002,87816,740,53312,INACTIVE,725
86,86,55,56,69,45,China,"Shrew, mandras tree",25793790,pellentesque volutpat dui maecenas tristique est et tempus semper est quam pharetra magna ac consequat metus sapien,16656,81951,18747,434,13942,VERIFYING,837
87,49,3,59,48,19,Philippines,Argalis,4749857,in eleifend quam a odio in hac habitasse platea dictumst maecenas ut massa quis augue luctus,90211,14536,95343,689,44256,INACTIVE,769
88,9,76,71,33,63,Sweden,Common rhea,53787274,volutpat erat quisque erat eros viverra eget congue eget semper rutrum nulla nunc,54771,34964,72880,875,32918,REPORTING,230
89,39,13,52,23,4,Portugal,"Coot, red-knobbed",55309153,natoque penatibus et magnis dis parturient montes nascetur ridiculus mus etiam vel,94164,11780,37342,417,65865,REPORTING,610
90,39,87,36,30,85,Philippines,"Kangaroo, red",54033724,lacus at velit vivamus vel nulla eget eros elementum pellentesque quisque porta volutpat erat quisque,82903,43091,47133,248,63539,INACTIVE,892
91,21,65,80,15,87,China,"Fowl, helmeted guinea",66388060,donec posuere metus vitae ipsum aliquam non mauris morbi non lectus aliquam,36891,75405,86754,447,45712,INACTIVE,163
92,63,90,93,89,93,Ukraine,"Gull, kelp",83464942,orci luctus et ultrices posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices,89042,37431,86490,191,94232,AVAILABLE,962
93,23,38,84,56,23,Ukraine,Grey lourie,67477196,tincidunt eget tempus vel pede morbi porttitor lorem id ligula suspendisse ornare consequat lectus in est risus,95517,9491,19272,425,58807,AVAILABLE,456
94,33,72,75,24,39,Egypt,"Porcupine, african",65683407,phasellus id sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie,65906,20241,8031,513,1693,AVAILABLE,426
95,8,42,20,1,22,French Polynesia,Common brushtail possum,32437865,interdum mauris non ligula pellentesque ultrices phasellus id sapien in sapien iaculis congue vivamus metus arcu,7690,6588,88023,202,22652,ACTIVE,352
96,29,64,37,84,12,United States,Civet (unidentified),38631962,elit proin risus praesent lectus vestibulum quam sapien varius ut blandit non interdum in ante vestibulum,40223,68633,24370,36,74725,ACTIVE,582
97,95,34,63,71,50,Sweden,Black-tailed deer,49143694,iaculis diam erat fermentum justo nec condimentum neque sapien placerat ante nulla justo aliquam quis turpis,90441,87215,16536,985,17962,VERIFYING,717
98,16,41,89,91,87,Brazil,"Heron, black-crowned night",99138724,feugiat non pretium quis lectus suspendisse potenti in eleifend quam,79045,85749,87223,738,1563,INACTIVE,267
99,82,6,7,49,40,Russia,Baleen whale,12340762,ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae duis faucibus,78444,7099,26587,718,86091,ACTIVE,723
100,65,84,68,82,90,Thailand,Long-necked turtle,45621971,sapien a libero nam dui proin leo odio porttitor id consequat in consequat,15946,3704,91026,305,20161,REPORTING,18
101,9,54,2,39,71,France,"Robin, kalahari scrub",33130741,non sodales sed tincidunt eu felis fusce posuere felis sed lacus morbi sem mauris laoreet ut rhoncus,7397,10500,3136,686,22439,ACTIVE,7
102,51,67,34,97,15,Peru,"Owl, australian masked",3998987,vestibulum vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae nulla dapibus dolor vel est,37882,70608,88366,651,73133,REPORTING,91
103,90,68,5,3,48,Albania,Pied crow,40162254,eu sapien cursus vestibulum proin eu mi nulla ac enim in,66141,49332,67804,810,19076,ACTIVE,547
104,16,49,5,100,24,Brazil,Bat-eared fox,94910103,at lorem integer tincidunt ante vel ipsum praesent blandit lacinia,33372,80950,69842,50,62584,AVAILABLE,655
105,62,91,79,19,89,China,"Weaver, lesser masked",57006825,orci vehicula condimentum curabitur in libero ut massa volutpat convallis morbi odio odio elementum eu interdum,40396,10762,35274,127,68904,ACTIVE,85
106,47,35,54,72,49,Albania,Western grey kangaroo,8999171,cubilia curae nulla dapibus dolor vel est donec odio justo sollicitudin ut suscipit,28578,57753,2225,689,23160,REPORTING,512
107,81,2,50,83,46,Poland,"Francolin, swainson's",68947325,vel nulla eget eros elementum pellentesque quisque porta volutpat erat quisque erat eros viverra eget congue,8128,15126,57901,435,29897,AVAILABLE,929
108,46,26,77,42,21,Japan,Yellow-headed caracara,6939158,quis lectus suspendisse potenti in eleifend quam a odio in hac habitasse,61470,59508,87975,819,16595,INACTIVE,116
109,29,51,53,15,71,Nigeria,"Cat, ringtail",49955793,sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at,69706,12212,94732,119,36940,ACTIVE,319
110,29,7,14,1,98,Philippines,"Duck, white-faced whistling",28821260,accumsan tortor quis turpis sed ante vivamus tortor duis mattis,4848,7648,13396,414,65956,SOLD OUT,544
111,36,91,67,69,74,France,"Baboon, chacma",96611404,nullam varius nulla facilisi cras non velit nec nisi vulputate nonummy maecenas tincidunt lacus at velit vivamus,31662,58514,62402,58,97197,INACTIVE,554
112,99,92,14,8,67,Japan,American crow,25111997,nisl duis bibendum felis sed interdum venenatis turpis enim blandit mi in porttitor pede justo eu massa,52714,78174,71832,106,61560,VERIFYING,228
113,66,52,40,40,16,France,Saddle-billed stork,96579802,nullam porttitor lacus at turpis donec posuere metus vitae ipsum aliquam,99748,55986,90889,226,27081,SOLD OUT,996
114,65,2,35,76,41,Indonesia,Yellow mongoose,10691877,nec nisi vulputate nonummy maecenas tincidunt lacus at velit vivamus vel nulla eget eros elementum pellentesque quisque porta volutpat erat,23773,9083,35140,594,32251,INACTIVE,585
115,17,24,61,35,52,Colombia,Red-billed toucan,8672906,sapien ut nunc vestibulum ante ipsum primis in faucibus orci luctus et,98465,88993,41508,299,48909,INACTIVE,329
116,45,51,56,64,22,Iran,"Duck, white-faced whistling",53640508,ultrices libero non mattis pulvinar nulla pede ullamcorper augue a suscipit,72283,32423,18240,960,79704,VERIFYING,29
117,26,29,28,42,10,Afghanistan,Aardwolf,97677321,id ligula suspendisse ornare consequat lectus in est risus auctor sed tristique,17354,91358,91331,415,2938,INACTIVE,851
118,63,16,46,63,74,Russia,Horned lark,18155548,mauris viverra diam vitae quam suspendisse potenti nullam porttitor lacus at turpis donec posuere metus vitae ipsum aliquam non mauris,30006,84757,53579,173,88944,AVAILABLE,652
119,1,70,22,61,95,China,"Grenadier, purple",60079390,vulputate luctus cum sociis natoque penatibus et magnis dis parturient montes,37831,81798,85035,497,41190,REPORTING,537
120,49,89,95,52,45,Malaysia,Gerenuk,90395233,tempor convallis nulla neque libero convallis eget eleifend luctus ultricies eu nibh quisque id justo sit amet sapien,55472,92496,11982,741,37159,SOLD OUT,924
121,43,70,88,50,39,Cuba,Secretary bird,62252958,sapien dignissim vestibulum vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae nulla,10849,15121,57858,206,56621,ACTIVE,983
122,43,61,14,97,7,China,"Trumpeter, dark-winged",42160364,rhoncus aliquam lacus morbi quis tortor id nulla ultrices aliquet maecenas leo odio condimentum id luctus nec,83776,41086,65116,715,90790,AVAILABLE,107
123,63,91,54,43,34,China,Turtle (unidentified),40888310,quis turpis eget elit sodales scelerisque mauris sit amet eros suspendisse accumsan tortor quis turpis sed,47813,61808,94411,84,8284,SOLD OUT,638
124,57,68,5,47,63,Colombia,Common eland,89083565,nulla quisque arcu libero rutrum ac lobortis vel dapibus at diam nam,98922,33247,74530,226,15661,INACTIVE,250
125,74,24,2,37,41,Russia,Superb starling,16337394,tristique in tempus sit amet sem fusce consequat nulla nisl nunc nisl duis bibendum felis,1365,46956,66757,184,62229,ACTIVE,894
126,79,73,48,67,16,Philippines,Common zebra,81469837,libero ut massa volutpat convallis morbi odio odio elementum eu interdum eu,94373,82661,38509,61,30935,REPORTING,465
127,4,39,55,73,48,Yemen,"Buffalo, asian water",12341504,pulvinar lobortis est phasellus sit amet erat nulla tempus vivamus in felis,40879,86679,39443,702,93120,ACTIVE,773
128,11,24,86,28,4,Ireland,Columbian rainbow boa,11082943,viverra eget congue eget semper rutrum nulla nunc purus phasellus,44445,13770,76550,397,40622,INACTIVE,645
129,3,93,44,72,69,Portugal,"Heron, grey",95650519,in hac habitasse platea dictumst aliquam augue quam sollicitudin vitae consectetuer eget rutrum at lorem integer tincidunt ante vel,86289,41111,42609,253,45327,VERIFYING,347
130,96,100,92,54,47,Azerbaijan,"Cow, scottish highland",50101573,curae donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet lobortis sapien,14949,90959,60145,875,79315,VERIFYING,754
131,42,58,9,69,91,Pakistan,Black-crowned night heron,91396553,curabitur in libero ut massa volutpat convallis morbi odio odio elementum eu interdum eu tincidunt in leo,27984,25329,58116,963,80998,REPORTING,420
132,95,77,63,11,96,Laos,"Langur, gray",98420892,dictumst etiam faucibus cursus urna ut tellus nulla ut erat,76999,80953,49799,798,43482,ACTIVE,135
133,4,10,81,7,36,Yemen,"Squirrel, european red",15280633,eros vestibulum ac est lacinia nisi venenatis tristique fusce congue diam id ornare imperdiet sapien urna pretium,22141,54592,12499,13,12775,AVAILABLE,299
134,34,91,76,57,100,Portugal,Laughing kookaburra,89451989,cubilia curae mauris viverra diam vitae quam suspendisse potenti nullam porttitor,30921,37262,15781,92,66581,INACTIVE,169
135,64,93,9,27,70,Brazil,"Possum, western pygmy",61341734,lorem ipsum dolor sit amet consectetuer adipiscing elit proin interdum mauris non ligula pellentesque,17356,26911,63109,568,10216,INACTIVE,118
136,97,74,42,2,71,Portugal,"Gecko, barking",46860096,justo maecenas rhoncus aliquam lacus morbi quis tortor id nulla ultrices aliquet,9083,63646,90726,27,55553,INACTIVE,628
137,22,80,33,58,62,France,"Crake, african black",51845271,eu nibh quisque id justo sit amet sapien dignissim vestibulum vestibulum ante ipsum primis in faucibus,74529,87665,46895,108,51387,ACTIVE,467
138,94,37,2,64,1,Czech Republic,"Butterfly, tropical buckeye",70293295,dui vel sem sed sagittis nam congue risus semper porta volutpat quam pede,98323,85281,46503,667,5715,VERIFYING,230
139,80,54,47,38,11,China,North American river otter,57877253,condimentum curabitur in libero ut massa volutpat convallis morbi odio odio elementum eu interdum eu,29174,71079,80050,960,44715,SOLD OUT,182
140,10,90,44,96,26,China,Malabar squirrel,96777268,ullamcorper purus sit amet nulla quisque arcu libero rutrum ac lobortis vel dapibus at diam,19869,43080,16200,992,30249,ACTIVE,263
141,15,73,67,56,52,Iran,River wallaby,27564241,ac diam cras pellentesque volutpat dui maecenas tristique est et tempus semper est quam pharetra magna ac consequat metus,37811,90506,52154,422,31340,VERIFYING,817
142,89,37,62,69,37,Russia,"Egret, great",77866623,vehicula consequat morbi a ipsum integer a nibh in quis,39416,97095,48470,276,88559,REPORTING,587
143,81,4,57,76,69,Macedonia,Southern hairy-nosed wombat,36595339,aliquet maecenas leo odio condimentum id luctus nec molestie sed justo pellentesque,14431,62342,22955,522,94759,VERIFYING,746
144,29,14,83,65,64,Netherlands,"Kangaroo, black-faced",40520317,ligula sit amet eleifend pede libero quis orci nullam molestie nibh,78067,19418,83946,525,88136,INACTIVE,160
145,98,56,39,7,62,China,"Raven, white-necked",26559955,curae donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien non mi integer ac,89973,4613,97034,788,74666,REPORTING,772
146,87,12,19,87,69,Indonesia,Openbill stork,19833223,consectetuer adipiscing elit proin interdum mauris non ligula pellentesque ultrices phasellus id sapien in sapien,97259,99785,79062,181,27513,ACTIVE,485
